record_id,date,hospital_name,department,hospital_type,city,ward,weekend_flag,holiday_flag,season,disease_outbreak_flag,total_beds,occupied_beds,reserved_beds,available_beds,emergency_beds,ICU_beds,ICU_occupied,ventilators_available,daily_admissions,daily_discharge,emergency_cases,staff_on_duty,nurses_on_duty,doctors_on_duty,average_length_of_stay,patient_turnover_rate,occupancy_rate,mortality_rate,infection_rate,temperature,masked_target_column,masked_ground_truth
HBO-000003,2024-01-01,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,1.0,Winter,0.0,60.0,36.0,1.0,23.0,4.0,7.0,4.0,,6.0,10.0,10.0,15.0,11.0,2.0,1.07,16.67,60.0,2.14,9.03,20.3,weekend_flag,
HBO-000033,2024-01-02,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,48.0,30.0,3.0,15.0,3.0,6.0,4.0,5.0,,3.0,10.0,17.0,8.0,3.0,,6.25,62.5,1.17,8.43,17.4,weekend_flag,
HBO-000063,2024-01-03,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,,0.0,Winter,0.0,55.0,35.0,3.0,17.0,3.0,7.0,4.0,3.0,11.0,9.0,12.0,17.0,11.0,,2.46,16.36,63.64,0.41,4.29,18.1,weekend_flag,0.0
HBO-000093,2024-01-04,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,49.0,34.0,3.0,12.0,3.0,6.0,5.0,1.0,5.0,2.0,8.0,13.0,8.0,2.0,5.88,4.08,69.39,5.58,3.36,,weekend_flag,
HBO-000123,2024-01-05,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,55.0,36.0,3.0,16.0,3.0,7.0,4.0,3.0,4.0,6.0,,,13.0,5.0,3.49,10.91,65.45,3.18,0.61,,weekend_flag,
HBO-000153,2024-01-06,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,37.0,27.0,1.0,9.0,2.0,4.0,3.0,2.0,7.0,5.0,10.0,9.0,5.0,1.0,3.24,13.51,72.97,1.03,1.24,21.6,weekend_flag,
HBO-000183,2024-01-07,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,49.0,39.0,1.0,9.0,3.0,6.0,6.0,1.0,5.0,7.0,6.0,19.0,13.0,4.0,5.46,14.29,,1.35,4.37,16.2,weekend_flag,
HBO-000213,2024-01-08,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,53.0,35.0,2.0,16.0,3.0,6.0,4.0,5.0,5.0,,10.0,,10.0,3.0,1.15,7.55,66.04,9.46,0.18,21.7,weekend_flag,
HBO-000243,2024-01-09,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,37.0,28.0,2.0,7.0,2.0,4.0,2.0,4.0,5.0,8.0,8.0,14.0,9.0,3.0,5.22,21.62,75.68,5.14,1.18,18.0,weekend_flag,
HBO-000273,2024-01-10,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,52.0,37.0,4.0,11.0,3.0,6.0,4.0,3.0,,7.0,8.0,18.0,11.0,,10.27,13.46,71.15,0.42,1.83,,weekend_flag,
HBO-000303,2024-01-11,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,61.0,45.0,2.0,14.0,4.0,7.0,6.0,,11.0,13.0,11.0,20.0,13.0,4.0,3.13,21.31,,0.5,0.28,20.4,weekend_flag,
HBO-000333,2024-01-12,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,47.0,37.0,2.0,8.0,3.0,6.0,4.0,2.0,,8.0,7.0,21.0,12.0,4.0,5.22,17.02,78.72,2.87,2.12,18.7,weekend_flag,
HBO-000363,2024-01-13,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,63.0,42.0,5.0,16.0,4.0,8.0,5.0,4.0,,10.0,13.0,19.0,13.0,4.0,4.19,15.87,66.67,1.53,3.41,17.1,weekend_flag,
HBO-000393,2024-01-14,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,1.0,0.0,Winter,0.0,49.0,33.0,3.0,13.0,3.0,6.0,4.0,3.0,3.0,0.0,13.0,13.0,,,3.59,0.0,67.35,0.24,4.82,18.8,weekend_flag,
HBO-000423,2024-01-15,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,47.0,34.0,3.0,10.0,3.0,6.0,4.0,3.0,7.0,11.0,10.0,21.0,14.0,5.0,3.99,23.4,72.34,7.9,8.65,,weekend_flag,
HBO-000453,2024-01-16,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,,0.0,Winter,0.0,72.0,54.0,3.0,15.0,4.0,9.0,7.0,4.0,5.0,6.0,,21.0,14.0,4.0,3.58,8.33,75.0,0.13,2.24,17.4,weekend_flag,0.0
HBO-000483,2024-01-17,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,54.0,38.0,4.0,12.0,3.0,6.0,4.0,4.0,13.0,12.0,11.0,20.0,13.0,4.0,5.43,22.22,70.37,3.76,2.49,19.8,weekend_flag,
HBO-000513,2024-01-18,Apex Medical Center,Cardiology,Teaching,Karachi,Cardiac,0.0,0.0,Winter,0.0,54.0,41.0,3.0,10.0,3.0,6.0,5.0,1.0,6.0,5.0,14.0,19.0,12.0,4.0,3.77,9.26,75.93,1.81,3.22,16.3,weekend_flag,
